Area Coming From,Area Going To,Slime Gated?,Unlock Needed,Needs Jetpack,Minimum Energy Level Required,Plort Types Needed,Slime Gate Required,Skip Logic?,,Slimes,Favorite Food,Spawn Location,Plort Drop,Id,Skip Logic,,Location Group,Regions Affected
Menu,The Ranch,No,,No,0,,,None,,Pink Slime,None,"The Ranch, Dry Reef - Main, Dry Reef - Beach, Dry Reef - Ring Island, The Slime Sea - Between Grotto and Dry Reef Island 2, Indigo Quarry - Before First Bridge, Indigo Quarry - After The Bridge, Indigo Quarry - Ash Isles, Indigo Quarry - Ancient Ruins Transition Overlap, Moss Blanket - Main, Moss Blanket - Mushroom Island, Ancient Ruins - Main, Glass Desert - First Half, Glass Desert - Second Half, The Wilds",Pink Plort,6,None,,Menu,Menu
The Ranch,The Grotto,No,The Grotto,No,0,,,None,,Tabby Slime,Stoney Hen,"Dry Reef - Main, Dry Reef - Beach, Dry Reef - Ring Island, Moss Blanket - Main, Moss Blanket - Mushroom Island, Ancient Ruins - Main, Glass Desert - First Half, Glass Desert - Second Half, The Wilds, Dry Reef - Offshoot",Tabby Plort,38,None,,The Ranch,"The Ranch, The Grotto, The Overgrowth, The Lab, The Docks, Upgrades"
The Ranch,The Overgrowth,No,The Overgrowth,No,0,,,None,,Tabby Slime,Stoney Hen,The Ranch,Tabby Plort,38,Market Logic,,Dry Reef,"Dry Reef - Main, Dry Reef - Beach, Dry Reef - Ring Island, Dry Reef - Offshoot"
The Ranch,The Lab,No,The Lab,No,0,,,None,,Rock Slime,Heartbeet,"Dry Reef - Main, Dry Reef - Beach, Dry Reef - Ring Island, Indigo Quarry - Before First Bridge, Indigo Quarry - After The Bridge, Indigo Quarry - Ash Isles, Indigo Quarry - Ancient Ruins Transition Overlap, Ancient Ruins - Main, Glass Desert - First Half, Glass Desert - Second Half, The Wilds, Dry Reef - Offshoot",Rock Plort,5,None,,The Slime Sea,"The Slime Sea - Between Grotto and Dry Reef Island 1, The Slime Sea - Between Grotto and Dry Reef Island 2, The Slime Sea - Mustache Shrine, The Slime Sea - Off Moss Blanket"
The Overgrowth,The Docks,No,The Docks,No,0,,,None,,Rock Slime,Heartbeet,The Ranch,Rock Plort,5,Market Logic,,Indigo Quarry,"Indigo Quarry - Before First Bridge, Indigo Quarry - After The Bridge, Indigo Quarry - Ash Isles, Indigo Quarry - Ancient Ruins Transition Overlap"
The Ranch,The Docks,No,The Docks,No,0,,,Obscure Locations,,Phosphor Slime,Cuberry,"Dry Reef - Main, Dry Reef - Beach, Dry Reef - Ring Island, The Slime Sea - Between Grotto and Dry Reef Island 1, The Slime Sea - Between Grotto and Dry Reef Island 2, Indigo Quarry - Before First Bridge, Indigo Quarry - After The Bridge, Indigo Quarry - Ash Isles, Indigo Quarry - Ancient Ruins Transition Overlap, Moss Blanket - Main, Moss Blanket - Mushroom Island, Moss Blanket - Hunter's Domain, Ancient Ruins - Main",Phosphor Plort,36,None,,Moss Blanket,"Moss Blanket - Main, Moss Blanket - Mushroom Island, Moss Blanket - Hunter's Domain"
Dry Reef - Main,The Docks,No,The Docks,No,0,,,None,,Phosphor Slime,Cuberry,The Ranch,Phosphor Plort,36,Market Logic,,Ancient Ruins,"Ancient Ruins - Main, Ancient Ruins - Teleporter Room, Ancient Ruins Transition"
The Overgrowth,Ogden's Retreat,No,Ogden's Retreat,No,0,"Boom Plort, Honey Plort, Hunter Plort",Slime Gate - Dry Reef to Moss Blanket,None,,Boom Slime,Briar Hen,"Indigo Quarry - Before First Bridge, Indigo Quarry - After The Bridge, Indigo Quarry - Ash Isles, Indigo Quarry - Ancient Ruins Transition Overlap, Moss Blanket - Main, Ancient Ruins - Main",Boom Plort,25,None,,Glass Desert,"Glass Desert - First Half, Glass Desert - Second Half, Glass Desert - That One Island I Need To Name"
The Grotto,Mochi's Manor,No,Mochi's Manor,No,0,"Boom Plort, Rad Plort, Crystal Plort",Slime Gate - Dry Reef to Indigo Quarry,None,,Boom Slime,Briar Hen,Dry Reef - Main,Boom Plort,25,Market Logic,,Ogden's Retreat,"Ogden's Retreat, The Wilds"
The Lab,Viktor's Workshop,No,Viktor's Workshop,No,0,Quantum Plort,Slime Gate - Ancient Ruins Transition to Ancient Ruins,None,,Rad Slime,Oca Oca,"Indigo Quarry - Before First Bridge, Indigo Quarry - After The Bridge, The Wilds",Rad Plort,4,None,,Mochi's Manor,"Mochi's Manor, Nimble Valley"
